anime_id,title,title_english,title_japanese,title_synonyms,image_url,status,source,episodes,status,airing,release_date,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,release_year,runtime
11013,Inu x Boku SS,Inu X Boku Secret Service,妖狐×僕SS,Youko x Boku SS,https://myanimelist.net/images/anime/12/35893.jpg,TV,Manga,12,Finished Airing,False,"Jan 13, 2012","{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8014705882352942,139250,1274.0,0.01589825119236884,283882,2809,Winter 2012,Fridays at Unknown,aniplex|square enix|mainichi broadcasting system|movic|inu x boku ss production partners,sentai filmworks,david production,comedy|supernatural|romance|shounen,24.0,2012.0,288.0
2104,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,The Inland Sea Bride,https://myanimelist.net/images/anime/13/58383.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 2007","{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,0.828781512605042,91206,727.0,0.025229833413976638,204003,2579,Spring 2007,Unknown,tv tokyo|aic|square enix|sotsu,funimation,gonzo,comedy|parody|romance|school|shounen,24.0,2007.0,624.0
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,しゅごキャラ！！どきっ,"Shugo Chara Ninenme, Shugo Chara! Second Year",https://myanimelist.net/images/anime/11/10645.jpg,TV,Manga,51,Finished Airing,False,"Oct 4, 2008","{'from': '2008-10-04', 'to': '2009-09-25'}",24 min. per ep.,PG - Children,0.7930672268907563,37129,1508.0,0.0810119582498099,70127,802,Fall 2008,Unknown,tv tokyo|sotsu,unknown,satelight,comedy|magic|school|shoujo,24.0,2008.0,1224.0
721,Princess Tutu,Princess Tutu,プリンセスチュチュ,,https://myanimelist.net/images/anime/13/32209.jpg,TV,Original,38,Finished Airing,False,"Aug 16, 2002","{'from': '2002-08-16', 'to': '2003-05-23'}",16 min. per ep.,PG-13 - Teens 13 or older,0.8623949579831934,36501,307.0,0.06324739061311951,93312,3344,Summer 2002,Fridays at Unknown,memory-tech|gansis|marvelous aql,adv films,hal film maker,comedy|drama|magic|romance|fantasy,16.0,2002.0,608.0
12365,Bakuman. 3rd Season,Bakuman.,バクマン。,Bakuman Season 3,https://myanimelist.net/images/anime/6/41845.jpg,TV,Manga,25,Finished Airing,False,"Oct 6, 2012","{'from': '2012-10-06', 'to': '2013-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,0.9107142857142857,107767,50.0,0.02937720329024677,182765,2082,Fall 2012,Unknown,nhk|shueisha,unknown,j.c.staff,comedy|drama|romance|shounen,24.0,2012.0,600.0
6586,Yume-iro Pâtissière,,夢色パティシエール,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",https://myanimelist.net/images/anime/12/21674.jpg,TV,Manga,50,Finished Airing,False,"Oct 4, 2009","{'from': '2009-10-04', 'to': '2010-09-26'}",24 min. per ep.,G - All Ages,0.8434873949579831,21618,526.0,0.11260109214073408,45625,826,Fall 2009,Unknown,yomiuri telecasting|dax production|shueisha,unknown,studio pierrot|studio hibari,kids|school|shoujo,24.0,2009.0,1200.0
178,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,,https://myanimelist.net/images/anime/8/53571.jpg,TV,Manga,26,Finished Airing,False,"May 20, 2003","{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,0.7626050420168067,9663,2594.0,0.1720467270339393,22778,122,Spring 2003,Tuesdays at 22:00 (JST),wao world|studio jack,discotek media|geneon entertainment usa,production reed,magic|comedy|romance|school|shoujo,24.0,2003.0,624.0
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,Shakugan no Shana 2,https://myanimelist.net/images/anime/10/18669.jpg,TV,Light novel,24,Finished Airing,False,"Oct 5, 2007","{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8109243697478992,126085,1066.0,0.022879657150756894,220591,1075,Fall 2007,Fridays at 01:25 (JST),geneon universal entertainment|ascii media works,funimation,j.c.staff,action|drama|fantasy|romance|school|supernatural,24.0,2007.0,576.0
4477,Nodame Cantabile: Paris-hen,,のだめカンタービレ 巴里編,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen",https://myanimelist.net/images/anime/4/11918.jpg,TV,Manga,11,Finished Airing,False,"Oct 10, 2008","{'from': '2008-10-10', 'to': '2008-12-19'}",23 min. per ep.,PG-13 - Teens 13 or older,0.865546218487395,53908,281.0,0.06822423446464367,85660,282,Fall 2008,Fridays at 00:45 (JST),fuji tv|asmik ace entertainment|sony music entertainment,unknown,j.c.staff,music|slice of life|comedy|romance|josei,23.0,2008.0,253.0
853,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC",https://myanimelist.net/images/anime/2/71992.jpg,TV,Manga,26,Finished Airing,False,"Apr 5, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,0.8760504201680672,335137,205.0,0.004700352526439483,538843,24072,Spring 2006,Wednesdays at 00:50 (JST),vap|hakusensha|nippon television network,funimation,bones,comedy|harem|romance|school|shoujo,23.0,2006.0,598.0
