mal_id,title,title_english,title_japanese,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics
52991,Sousou no Frieren,Frieren: Beyond Journey's End,葬送のフリーレン,TV,Manga,28.0,Finished Airing,False,"Sep 29, 2023 to Mar 22, 2024",24 min per ep,PG-13 - Teens 13 or older,9.31,607954.0,1.0,159,1042401,63678,"Sousou no Frieren was released on Blu-ray and DVD in seven volumes from January 24, 2024, to July 17, 2024.",fall,Fridays at 23:00 (JST),"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Crunchyroll,Madhouse,"Adventure, Drama, Fantasy",,,Shounen
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,Manga,64.0,Finished Airing,False,"Apr 5, 2009 to Jul 4, 2010",24 min per ep,R - 17+ (violence & profanity),9.1,2197959.0,2.0,3,3486079,232114,,spring,Sundays at 17:00 (JST),"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound","Funimation, Aniplex of America",Bones,"Action, Adventure, Drama, Fantasy",,Military,Shounen
9253,Steins;Gate,Steins;Gate,STEINS;GATE,TV,Visual novel,24.0,Finished Airing,False,"Apr 6, 2011 to Sep 14, 2011",24 min per ep,PG-13 - Teens 13 or older,9.07,1451101.0,3.0,14,2670583,194668,Steins;Gate is based on 5pb. and Nitroplus' visual novel of the same title released in 2009. It serves as the second entry in the Science Adventure series.,spring,Wednesdays at 02:05 (JST),"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,"Drama, Sci-Fi, Suspense",,"Psychological, Time Travel",
60022,One Piece Fan Letter,,ONE PIECE FAN LETTER,TV Special,Light novel,1.0,Finished Airing,False,"Oct 20, 2024",24 min,PG-13 - Teens 13 or older,9.06,70081.0,4.0,2327,92881,1991,This work serves to commemorate the 25th anniversary of the One Piece anime.,,,,,Toei Animation,"Action, Adventure, Fantasy",,,Shounen
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人 Season3 Part.2,TV,Manga,10.0,Finished Airing,False,"Apr 29, 2019 to Jul 1, 2019",23 min per ep,R - 17+ (violence & profanity),9.05,1672821.0,5.0,21,2410706,60549,Shingeki no Kyojin Season 3 Part 2 adapts content from volumes 18-22 of Hajime Isayama's award-winning manga of the same name.,spring,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,"Action, Drama, Suspense",,"Gore, Military, Survival",Shounen
28977,Gintama°,Gintama Season 4,銀魂°,TV,Manga,51.0,Finished Airing,False,"Apr 8, 2015 to Mar 30, 2016",24 min per ep,PG-13 - Teens 13 or older,9.05,260674.0,6.0,346,657249,17044,,spring,Wednesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
39486,Gintama: The Final,Gintama: The Very Final,銀魂 THE FINAL,Movie,Manga,1.0,Finished Airing,False,"Jan 8, 2021",1 hr 44 min,PG-13 - Teens 13 or older,9.04,78181.0,7.0,1537,163734,4446,"As of March 2021, Gintama: The Final has earned a franchise record of 1.85 billion yen (16.94 million USD) and debuted at No. 1 at the Japanese box office. The film concludes the Gintama anime series, adapting chapters 699-704 of the original manga with new story elements.",,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Eleven Arts,Bandai Namco Pictures,"Action, Comedy, Drama, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
11061,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,TV,Manga,148.0,Finished Airing,False,"Oct 2, 2011 to Sep 24, 2014",23 min per ep,PG-13 - Teens 13 or older,9.03,1854073.0,8.0,8,2984439,218650,,fall,Sundays at 10:55 (JST),"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,"Action, Adventure, Fantasy",,,Shounen
9969,Gintama',Gintama Season 2,銀魂',TV,Manga,51.0,Finished Airing,False,"Apr 4, 2011 to Mar 26, 2012",24 min per ep,PG-13 - Teens 13 or older,9.02,246082.0,9.0,401,580957,8343,,spring,Mondays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha",,Sunrise,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
15417,Gintama': Enchousen,Gintama: Enchousen,銀魂' 延長戦,TV,Manga,13.0,Finished Airing,False,"Oct 4, 2012 to Mar 28, 2013",24 min per ep,PG-13 - Teens 13 or older,9.02,171338.0,10.0,758,338398,3100,,fall,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",,Sunrise,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,銀河英雄伝説,OVA,Novel,110.0,Finished Airing,False,"Jan 8, 1988 to Mar 17, 1997",26 min per ep,R - 17+ (violence & profanity),9.01,82508.0,11.0,760,337939,16908,"Legend of the Galactic Heroes was adapted from a series of ten novels, published 1982–87, by Yoshiki Tanaka. The novels won the Seiun Award for the best long-form Japanese science fiction in 1988. At the start of its production the anime was distributed through a subscription system in which episodes were mailed to existing fans of the novels. It was made in four separate tranches over nearly a decade, with the production of side-stories continuing for several further years. The main series has the largest voice cast of any anime, with well over 300 voice actors, and it is the longest OVA series ever made. The novels have also been adapted into a manga, a stage musical by the Takarazuka Revue and a number of games.",,,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications, Wright Staff",Sentai Filmworks,"K-Factory, Kitty Film Mitaka Studio","Drama, Sci-Fi",,"Adult Cast, Military, Space",
41467,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,BLEACH 千年血戦篇,TV,Manga,13.0,Finished Airing,False,"Oct 11, 2022 to Dec 27, 2022",24 min per ep,R - 17+ (violence & profanity),9.0,327320.0,12.0,373,617733,22002,"Bleach: Sennen Kessen-hen adapts volume 55 to volume 61 of the original manga. It was released on Blu-ray on April 26, 2023.",fall,Tuesdays at 00:00 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha",VIZ Media,Pierrot,"Action, Adventure, Supernatural",,,Shounen
34096,Gintama.,Gintama Season 5,銀魂。,TV,Manga,12.0,Finished Airing,False,"Jan 9, 2017 to Mar 27, 2017",24 min per ep,PG-13 - Teens 13 or older,8.98,152019.0,13.0,785,328414,2778,,winter,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha",,Bandai Namco Pictures,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,かぐや様は告らせたい-ウルトラロマンティック-,TV,Manga,13.0,Finished Airing,False,"Apr 9, 2022 to Jun 25, 2022",23 min per ep,PG-13 - Teens 13 or older,8.98,573252.0,14.0,168,1010433,32155,,spring,Saturdays at 00:00 (JST),"Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,"Comedy, Romance",,School,Seinen
42938,Fruits Basket: The Final,Fruits Basket: The Final Season,フルーツバスケット The Final,TV,Manga,13.0,Finished Airing,False,"Apr 6, 2021 to Jun 29, 2021",23 min per ep,PG-13 - Teens 13 or older,8.96,256488.0,15.0,459,515919,20764,,spring,Tuesdays at 01:30 (JST),"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",Funimation,TMS Entertainment,"Drama, Romance, Supernatural",,,Shoujo
4181,Clannad: After Story,Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,TV,Visual novel,24.0,Finished Airing,False,"Oct 3, 2008 to Mar 27, 2009",24 min per ep,PG-13 - Teens 13 or older,8.93,676810.0,16.0,120,1231994,71456,,fall,Fridays at 01:59 (JST),"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,"Drama, Romance",,,
918,Gintama,Gintama,銀魂,TV,Manga,201.0,Finished Airing,False,"Apr 4, 2006 to Mar 25, 2010",24 min per ep,PG-13 - Teens 13 or older,8.93,408291.0,17.0,145,1104317,60218,"Gintama adapts chapters 1-292 of original manga. Several games based on Gintama have been released on a variety of platforms, such as the PlayStation 2, PlayStation Portable, and Nintendo DS. Characters from the series have also appeared in Weekly Shounen Jump's crossover titles, including Jump Super Stars and Jump Ultimate Stars. The series received high-definition reruns of older episodes by TV Tokyo from April 5, 2010 to March 28, 2011 under the name Yorinuki Gintama-san, which included 51 selected episodes as well as four new opening and ending songs. Gintama received a live-action movie adaptation that premiered on July 14, 2017. Shortly after the film's release, a sequel was announced in November 2017 and was later released on August 17, 2018.",spring,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
28851,Koe no Katachi,A Silent Voice,聲の形,Movie,Manga,1.0,Finished Airing,False,"Sep 17, 2016",2 hr 10 min,PG-13 - Teens 13 or older,8.93,1690605.0,18.0,20,2449916,91414,Koe no Katachi won the following awards: Japanese Movie Critics Awards for Best Animation Feature Film in 2016; Japanese Academy Award for Excellent Animation of the Year in 2016; Tokyo Anime Award Festival for Anime of the Year (movie) & Best Screenplay / Original Story (Reiko Yoshida) in 2017; Japan Media Arts Festival for Animation Division - Excellence Award in 2017; Japan Movie Critics Awards for Best Animation of the Year in 2017; and Camera Japan Festival for Feature Film in 2017.,,,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post, GKIDS",Kyoto Animation,"Award Winning, Drama",,,Shounen
35180,3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,3月のライオン 第2シリーズ,TV,Manga,22.0,Finished Airing,False,"Oct 14, 2017 to Mar 31, 2018",25 min per ep,PG-13 - Teens 13 or older,8.91,206282.0,19.0,590,417273,15273,,fall,Saturdays at 23:00 (JST),"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Drama,,"Childcare, Strategy Game",Seinen
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,コードギアス 反逆のルルーシュ R2,TV,Original,25.0,Finished Airing,False,"Apr 6, 2008 to Sep 28, 2008",24 min per ep,R - 17+ (violence & profanity),8.91,1237113.0,20.0,47,1853342,78229,"Code Geass: Hangyaku no Lelouch R2 is an original anime series by Sunrise animation studio with original character designs by the all-female Japanese manga artist group CLAMP. Manga and light novels based off the show have been published by Kadokawa Shoten. The show has sold millions of DVDs and Blu-ray volumes and is extremely popular in both Japan and North America. The show is known for its multi-genre appeal and for its diverse cast of characters who face many moral dilemmas over the course of the series. The series won: ""The Best TV Animation"" award at the thirteenth Animation Kobe event in 2008, and ""The Most Popular Anime"" award at the Animage 's 30th Annual Anime Grand Prix.",spring,Sundays at 17:00 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,"Action, Award Winning, Drama, Sci-Fi",,"Mecha, Military, Super Power",
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,劇場版 銀魂 完結篇 万事屋よ永遠なれ,Movie,Manga,1.0,Finished Airing,False,"Jul 6, 2013",1 hr 50 min,PG-13 - Teens 13 or older,8.9,139301.0,21.0,1038,249098,2124,,,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",,Sunrise,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai, Time Travel",Shounen
54492,Kusuriya no Hitorigoto,The Apothecary Diaries,薬屋のひとりごと,TV,Light novel,24.0,Finished Airing,False,"Oct 22, 2023 to Mar 24, 2024",22 min per ep,PG-13 - Teens 13 or older,8.88,300067.0,23.0,413,571209,17119,"Kusuriya no Hitorigoto was released on Blu-ray in four volumes from January 24, 2024, to July 17, 2024.",fall,Sundays at 01:05 (JST),"Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos",Crunchyroll,"OLM, TOHO animation STUDIO","Drama, Mystery",,"Historical, Medical",
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Gintama. Silver Soul Arc - Second Half War,銀魂. 銀ノ魂篇 後半戦,TV,Manga,14.0,Finished Airing,False,"Jul 9, 2018 to Oct 8, 2018",24 min per ep,PG-13 - Teens 13 or older,8.88,100593.0,22.0,1233,209619,1065,"Gintama. Shirogane no Tamashii-hen - Kouhan-sen was released on Blu-ray and DVD from October 24, 2018, to February 27, 2019.",summer,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha",,Bandai Namco Pictures,"Action, Comedy, Sci-Fi",,"Gag Humor, Historical, Parody, Samurai",Shounen
19,Monster,Monster,モンスター,TV,Manga,74.0,Finished Airing,False,"Apr 7, 2004 to Sep 28, 2005",24 min per ep,R+ - Mild Nudity,8.88,458663.0,24.0,123,1209720,56803,,spring,Wednesdays at 00:40 (JST),"VAP, Nippon Television Network",VIZ Media,Madhouse,"Drama, Mystery, Suspense",,"Adult Cast, Psychological",Seinen
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,進撃の巨人 The Final Season完結編,TV Special,Manga,2.0,Finished Airing,False,"Mar 4, 2023 to Nov 5, 2023",1 hr 12 min per ep,R - 17+ (violence & profanity),8.87,444871.0,25.0,289,745171,16333,Shingeki no Kyojin: The Final Season - Kanketsu-hen adapts content from volumes 32-34 of the original manga.,,,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,MAPPA,"Action, Drama, Suspense",,"Gore, Military, Survival",Shounen
50399,Tian Guan Cifu Er,Heaven Official's Blessing Season 2,天官賜福 貳,ONA,Web novel,12.0,Finished Airing,False,"Oct 18, 2023 to Jan 17, 2024",24 min per ep,PG-13 - Teens 13 or older,8.66,19115.0,74.0,3207,53107,1183,,,,bilibili,,Red Dog Culture House,"Action, Adventure, Drama, Fantasy",,"Historical, Mythology",
164,Mononoke Hime,Princess Mononoke,もののけ姫,Movie,Original,1.0,Finished Airing,False,"Jul 12, 1997",2 hr 13 min,PG-13 - Teens 13 or older,8.66,845448.0,73.0,106,1310542,22938,"In 1997 the film won Best Japanese Movie, Best Animation and Japanese Movie Fans' Choice awards during the 52nd Mainichi Film Awards. In 1998 the film won the Best Picture award during the 21st Japan Academy Awards.",,,"Tokuma Shoten, Nippon Television Network, Omnibus Promotion",GKIDS,Studio Ghibli,"Action, Adventure, Award Winning, Fantasy",,,
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ZERO -Starting Life in Another World- Season 3,Re:ゼロから始める異世界生活,TV,Light novel,16.0,Currently Airing,True,"Oct 2, 2024 to Mar 26, 2025",23 min per ep,R - 17+ (violence & profanity),8.65,71931.0,78.0,699,361670,5014,"Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season is comprised of two arcs. The first eight episodes are subtitled Shuugeki-hen (Attack Arc). The latter eight, subtitled Hangeki-hen (Counterattack Arc), began airing on February 5, 2025. The series was released on Blu-ray and DVD in five volumes from January 24, 2025, to June 25, 2025.",fall,Wednesdays at 22:30 (JST),"AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa, DAXEL",,White Fox,"Drama, Fantasy, Suspense",,"Isekai, Psychological, Time Travel",
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night: Heaven's Feel - III. Spring Song,劇場版「Fate/stay night [Heaven's Feel] III.spring song」,Movie,Visual novel,1.0,Finished Airing,False,"Aug 15, 2020",2 hr 2 min,R - 17+ (violence & profanity),8.65,202427.0,75.0,673,374698,8266,"Fate/stay night Movie: Heaven's Feel - III. Spring Song was ranked the ninth highest grossing Japanese film of 2020 for the Japanese box office, generating 1.95 billion yen (aprox. $19,252,497 million) during its box office run. The opening weekend grossed 474 million yen, debuting at No. 1 at the Japanese box office.",,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,"Action, Fantasy",,Urban Fantasy,
46102,Odd Taxi,Odd Taxi,オッドタクシー,TV,Original,13.0,Finished Airing,False,"Apr 6, 2021 to Jun 29, 2021",23 min per ep,PG-13 - Teens 13 or older,8.65,231461.0,77.0,514,468067,8736,Winner of the New Face Award at the 25th Japan Media Arts Festival.,spring,Tuesdays at 02:00 (JST),"TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Mimoid, Yoshimoto Kogyo",,"OLM, P.I.C.S.","Award Winning, Drama, Mystery, Suspense",,"Adult Cast, Anthropomorphic, Organized Crime",
